api_names,,brand_sold_product,Cleaned Names,avg_price,count
Artemether / Lumefantrine,,,,114,11
Artemether / Lumefantrine,,6T,,200,3
Artemether / Lumefantrine,,96,,0,3
Artemether / Lumefantrine,,ACT,,67,30
Artemether / Lumefantrine,,ACT AL,,50,66
Artemether / Lumefantrine,,ACTM,,78,2122
Artemether / Lumefantrine,,AJANTA,,125,77
Artemether / Lumefantrine,,AJANTA AL,,60,7
Artemether / Lumefantrine,,AJANTA AL S,,84,18
Artemether / Lumefantrine,,AJANTA _VOUTURE PROGRAM,,50,1
Artemether / Lumefantrine,,AJANTA VOUTURE PROGRAM,,73,23
Artemether / Lumefantrine,,AL,,32,9960
Artemether / Lumefantrine,,A L,,36,126
Artemether / Lumefantrine,,AL 25KG,,50,73
Artemether / Lumefantrine,,AL 3,,37,58
Artemether / Lumefantrine,,AL 6,,47,35
Artemether / Lumefantrine,,A L AL,,97,3
Artemether / Lumefantrine,,AL AL,,100,3
Artemether / Lumefantrine,,AL DISPERSABLE,,55,2
Artemether / Lumefantrine,,ALFANTRINE,,252,78
Artemether / Lumefantrine,,ALL BRANDS,,136,107
Artemether / Lumefantrine,,AL LUFENART,,260,3
Artemether / Lumefantrine,,AL LUMERAX DT,,0,322
Artemether / Lumefantrine,,AL ORIGINAL,,100,6
Artemether / Lumefantrine,,AL PRO FANTRINE FORTE,,49,13
Artemether / Lumefantrine,,A L S,,72,41
Artemether / Lumefantrine,,AL S,,33,3476
Artemether / Lumefantrine,,AL S 4 8,,50,100
Artemether / Lumefantrine,,AL S FALCIZE,,150,2
Artemether / Lumefantrine,,AL SHAL ARTEM,,4,6
Artemether / Lumefantrine,,AL SHALARTEM S,,29,46
Artemether / Lumefantrine,,AL SHARTEM,,4,5
Artemether / Lumefantrine,,AL S SHAL ARTEM,,4,5
Artemether / Lumefantrine,,AL SYUP,,150,31
Artemether / Lumefantrine,,ANTIMALARIAL,,100,252
Artemether / Lumefantrine,,ARTEFAN,,52,5063
Artemether / Lumefantrine,,ARTEFAN18,,0,1
Artemether / Lumefantrine,,ARTEFAN24,,100,1
Artemether / Lumefantrine,,ARTEFANDISPERSIBLE12,,75,4
Artemether / Lumefantrine,,ARTEFENTRINE AL,,4,173
Artemether / Lumefantrine,,ARTELART,,23,577
Artemether / Lumefantrine,,ARTELAT S,,4,15
Artemether / Lumefantrine,,ARTEMETER LUMEFANTRINE,,12,50
Artemether / Lumefantrine,,ARTEMETHER,,98,121
Artemether / Lumefantrine,,ARTEMETHER AND LUMEFANTIN,,147,53
Artemether / Lumefantrine,,ARTEMETHER LUMEFANTRIN,,350,8
Artemether / Lumefantrine,,ARTEMETHER LUMEFANTRINE,,51,431
Artemether / Lumefantrine,,ARTEMETHER LUMEFANTRINE S,,80,1
Artemether / Lumefantrine,,ARTEMETHER LUMEFANTRINE SY,,120,25
Artemether / Lumefantrine,,ARTEMETHER LUMEFANTRINE SYM,,183,3
Artemether / Lumefantrine,,ARTEMETHER LUMEGANTRINE,,5,167
Artemether / Lumefantrine,,ARTEMETHER LUMERFETRIN,,98,27
Artemether / Lumefantrine,,BLISS,,331,9
Artemether / Lumefantrine,,CARTER,,52,82
Artemether / Lumefantrine,,CIPLA,,19,55
Artemether / Lumefantrine,,COARINET,,463,3
Artemether / Lumefantrine,,COARTEM,,28,2243
Artemether / Lumefantrine,,COARTESIANE,,700,1
Artemether / Lumefantrine,,CO ARTESIANE,,458,46
Artemether / Lumefantrine,,CO CORITHER,,189,8
Artemether / Lumefantrine,,COMALATHER,,16,8
Artemether / Lumefantrine,,CO MALATHER,,101,22
Artemether / Lumefantrine,,CO MALATHER AL,,100,10
Artemether / Lumefantrine,,CO MALATHR,,4,74
Artemether / Lumefantrine,,CO_MAX,,4,55
Artemether / Lumefantrine,,COMAX DPS,,150,35
Artemether / Lumefantrine,,COMBIART,,8,1202
Artemether / Lumefantrine,,CROWN,,4,2
Artemether / Lumefantrine,,DISPERSABLE,,100,1
Artemether / Lumefantrine,,DOSE,,4,98
Artemether / Lumefantrine,,ERITHER AL,,4,32
Artemether / Lumefantrine,,ERITHER L,,120,61
Artemether / Lumefantrine,,FALCIZED,,100,1
Artemether / Lumefantrine,,GAME,,46,4363
Artemether / Lumefantrine,,GENERIC,,31,962
Artemether / Lumefantrine,,GENERIC AL,,13,119
Artemether / Lumefantrine,,GENERIC APICA LTD,,0,1
Artemether / Lumefantrine,,GENERIC IPICA LABORATORIES,,2,8
Artemether / Lumefantrine,,GENERIC S,,50,39
Artemether / Lumefantrine,,GVITHER,,50,1
Artemether / Lumefantrine,,IPCA,,9,3355
Artemether / Lumefantrine,,IPICA,,2,2
Artemether / Lumefantrine,,L ARTEM,,55,999
Artemether / Lumefantrine,,LEMERAX,,0,19
Artemether / Lumefantrine,,LONART,,47,38676
Artemether / Lumefantrine,,LONARTS,,5,132
Artemether / Lumefantrine,,LONEX,,50,1
Artemether / Lumefantrine,,LONRT DUSPERSIBLE,,30,14
Artemether / Lumefantrine,,LORNAT,,8,503
Artemether / Lumefantrine,,LOYALTY,,90,3
Artemether / Lumefantrine,,LUFANART,,139,119
Artemether / Lumefantrine,,LUFANATE,,50,42
Artemether / Lumefantrine,,LUFENART,,147,147
Artemether / Lumefantrine,,LUFENART AL,,157,14
Artemether / Lumefantrine,,LUMARTEM,,160,334
Artemether / Lumefantrine,,LUM_ARTEM,,153,41
Artemether / Lumefantrine,,LUMARTEM DT,,0,5
Artemether / Lumefantrine,,LUMARTEM FORTE,,120,34
Artemether / Lumefantrine,,LUMATEM,,165,39
Artemether / Lumefantrine,,LUMATERM,,32,131
Artemether / Lumefantrine,,LUMATERM DT,,0,1
Artemether / Lumefantrine,,LUMEFAC,,150,17
Artemether / Lumefantrine,,LUMERAT DT S,,0,6
Artemether / Lumefantrine,,LUMERAX,,10,159
Artemether / Lumefantrine,,LUMERAXDT,,0,227
Artemether / Lumefantrine,,LUMERAX DT,,0,213
Artemether / Lumefantrine,,LUMERAX DT S,,4,152
Artemether / Lumefantrine,,LUMESOF PLUS,,150,3
Artemether / Lumefantrine,,LUMESOFT PLUS,,19,5
Artemether / Lumefantrine,,LUMET,,2,1220
Artemether / Lumefantrine,,LUMET ADULTS,,0,78
Artemether / Lumefantrine,,LUMETHER DRY,,150,17
Artemether / Lumefantrine,,LUMET S,,0,661
Artemether / Lumefantrine,,LUMFENART,,150,1
Artemether / Lumefantrine,,LUMIART,,22,829
Artemether / Lumefantrine,,LUMITER,,0,164
Artemether / Lumefantrine,,LUMITERDT,,0,34
Artemether / Lumefantrine,,LUMITER DT,,1,525
Artemether / Lumefantrine,,LUMITER DT S,,0,46
Artemether / Lumefantrine,,MACLEODS,,0,798
Artemether / Lumefantrine,,MALARATE,,150,2
Artemether / Lumefantrine,,MALAREM,,77,66
Artemether / Lumefantrine,,MALBETA,,333,3
Artemether / Lumefantrine,,MALODAR,,50,8
Artemether / Lumefantrine,,NOVARTIS,,800,16
Artemether / Lumefantrine,,NOVATIS,,500,4
Artemether / Lumefantrine,,ORANGE FLAVOUR,,69,11
Artemether / Lumefantrine,,P ALAXIN,,350,1
Artemether / Lumefantrine,,PRO FANTRINE FORTE,,250,3
Artemether / Lumefantrine,,SHA ARTEM,,100,3
Artemether / Lumefantrine,,SHALARTEM,,96,18
Artemether / Lumefantrine,,SHAL ARTEM,,84,91
Artemether / Lumefantrine,,SHAL ARTEM FORTE,,281,9
Artemether / Lumefantrine,,SHAL ARTEM S,,50,11
Artemether / Lumefantrine,,SHALARTEM TEMRIN,,93,9
Artemether / Lumefantrine,,SHAR ARTEM,,60,2
Artemether / Lumefantrine,,TEMTRIN,,12,51
Artemether / Lumefantrine,,TEMTRINE,,150,1
Artemether / Lumefantrine,,VETENARY AL GLOVES,,15,4
Artemether / Lumefantrine,,WINART,,120,19
Artemether / Lumefantrine,,WINART FORTE,,146,217